Category,Brand_Name,Product Name,Price,Actual Price,Weight/Quantity,Offer,Ratings,Description,Image_url
Buy Fruits and Vegetables Online,fresho!,Potato,₹144.4,₹190,5 kg,24% OFF,4.5,"fresho! Potatoes offer a taste of pure, earthy goodness. Each spud is handpicked for its perfect texture and flavour, ideal for crispy roasties or creamy mash. Packed with nutrients and versatility, they transform every meal into a wholesome delight. Enjoy the freshness and quality that only fresho! can provide.",https://www.bigbasket.com/media/uploads/p/l/40320936_1-fresho-potato-fresh-crop.jpg
Buy Fruits and Vegetables Online,fresho!,Potato,₹144.4,₹190,5 kg,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"fresho! Potatoes offer a taste of pure, earthy goodness. Each spud is handpicked for its perfect texture and flavour, ideal for crispy roasties or creamy mash. Packed with nutrients and versatility, they transform every meal into a wholesome delight. Enjoy the freshness and quality that only fresho! can provide.",https://www.bigbasket.com/media/uploads/p/l/40320936_1-fresho-potato-fresh-crop.jpg
Buy Fruits and Vegetables Online,fresho!,Onion (Loose),₹75,₹105.48,1 kg,29% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.",https://www.bigbasket.com/media/uploads/p/l/10000149_14-fresho-onion.jpg
Buy Fruits and Vegetables Online,fresho!,Onion (Loose),₹75,₹105.48,1 kg,29% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.",https://www.bigbasket.com/media/uploads/p/l/10000149_14-fresho-onion.jpg
Buy Fruits and Vegetables Online,fresho!,Coriander Leaves With Roots - Enhances Flavour Of The Dishes,₹36.44,₹47.95,500 g,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,Coriander leaves are green and fragile with a decorative appearance. They contain minimal aroma and enhance the flavour of the dishes. Now do not bother wasting time cutting off the roots as we value your money and time and provide you with the freshest leafy edible parts.Do not forget to check our delicious recipe -https://www.bigbasket.com/cookbook/recipes/33/green-chutney/,https://www.bigbasket.com/media/uploads/p/l/40256888_2-fresho-coriander-leaves-with-roots-enhances-flavour-of-the-dishes.jpg
Buy Fruits and Vegetables Online,fresho!,Coriander Leaves With Roots - Enhances Flavour Of The Dishes,₹36.44,₹47.95,500 g,24% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,Coriander leaves are green and fragile with a decorative appearance. They contain minimal aroma and enhance the flavour of the dishes. Now do not bother wasting time cutting off the roots as we value your money and time and provide you with the freshest leafy edible parts.Do not forget to check our delicious recipe -https://www.bigbasket.com/cookbook/recipes/33/green-chutney/,https://www.bigbasket.com/media/uploads/p/l/40256888_2-fresho-coriander-leaves-with-roots-enhances-flavour-of-the-dishes.jpg
Buy Fruits and Vegetables Online,fresho!,Potato,₹59.18,₹73.97,2 kg,20% OFF,Copyright © 2023-2025 Supermarket Grocery Supplies Pvt Ltd,"Fresho Potatoes are nutrient-dense, non-fattening, and have a reasonable number of calories. Include them in your regular meals so that the body receives a good supply of carbohydrates, dietary fibers, and essential minerals such as copper, magnesium, and iron. In India, potatoes are the second most consumed vegetable after onions.In India, the potato is a versatile and beloved staple, integral to numerous regional cuisines. This humble tuber finds its way into a variety of dishes, from the crispy delights of aloo tikki and samosas to the comforting warmth of aloo paratha and dum aloo. Potatoes are a key ingredient in curries, adding heartiness and absorbing rich spices, making them a favourite across households. It is skilfully used in chaats, where their texture and taste enhance the mix of flavours. During festivals and family gatherings, potatoes are often featured in celebratory feasts. With their adaptability and wide appeal, potatoes hold a cherished place in India's culinary traditions, uniting diverse palates through their simple yet profound presence.Click here for delicious vegetable recipes -https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/",https://www.bigbasket.com/media/uploads/p/l/40048459_8-fresho-potato-new-crop.jpg
Buy Fruits and Vegetables Online,fresho!,Carrot - Orange (Loose),₹14.25,₹17.81,250 g,20% OFF,2,"A popular sweet-tasting root vegetable, carrots are narrow and cone-shaped. They have thick, fleshy, deeply coloured roots which grow underground and feathery green leaves that emerge above the ground. While these greens are fresh-tasting and slightly bitter, the carrot roots are crunchy textured with a sweet and minty aromatic taste. Fresho! brings you the flavour and richness of the finest crispy and juicy carrots that are locally grown and the best of the region.In the vibrant tapestry of Indian cuisine, orange carrots play a versatile role, prized for their sweetness and vibrant hue. Whether grated into salads, blended into creamy soups, or incorporated into decadent desserts like gajar ka halwa, these carrots lend their distinct flavour and colour. In traditional Indian households, they are a staple vegetable used in everyday cooking, enhancing dishes with their natural sweetness. Carrots are also pickled or added to savoury snacks like samosas for added texture and flavour. Their availability year-round and adaptability in both sweet and savoury preparations make them a beloved ingredient across India's diverse culinary landscape.Do not forget to check our delicious recipe -https://www.bigbasket.com/cookbook/recipes/912/carrot-halwa/",https://www.bigbasket.com/media/uploads/p/l/10000070_16-fresho-carrot-orange.jpg
Buy Fruits and Vegetables Online,fresho!,Ladies' Fingers (Loose),₹30,₹67.12,1 kg,55% OFF,10,"Ladies' Fingers is a green vegetable with a tip at the end and a lighter green head, which is inedible and to be thrown away. It tastes mild and slightly grassy. Ladies' Fingers or okra is a popular vegetable that is nutritious and has a high fibre content. It contains both soluble as well as insoluble fibres and is used in various recipes. The best way to select Ladies' Fingers is to look for smaller pods as they are tender. These also taste better. The brighter coloured ones and those that are unblemished, and firm are the best quality Ladies' Fingers. The Ladies' Fingers are sourced directly from the farmers and brought to the shelves carefully, ensuring that the vegetable maintains its freshness and nutrients.Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/2136/cheesy-okra-bhindi-fritters/",https://www.bigbasket.com/media/uploads/p/l/10000142_18-fresho-ladies-finger.jpg
Buy Fruits and Vegetables Online,fresho!,Coriander Leaves,₹100.82,₹126.03,1 kg,20% OFF,10,"Coriander leaves are delicate and green with a decorative appearance. They have a minimal aroma and a spicy, sweet taste. You don't need to waste time cutting off the roots as we value your money and time, providing you with the freshest edible leafy parts.Coriander leaves, or cilantro, are an essential element in the tapestry of Indian flavours. These delicate, vibrant green leaves lend a fresh, herbaceous note to a myriad of dishes across the subcontinent. From fragrant biryanis to zesty chutneys and cooling raitas, their presence elevates both the aroma and taste profiles of traditional recipes. Whether used as a garnish or finely chopped into curries, coriander leaves offer a subtle citrus-like tang that balances and enhances spicy and savoury flavours. Beyond their culinary use, coriander leaves hold cultural significance, symbolising freshness and adding a touch of aesthetic appeal to Indian cuisine.Don't forget to check out our delicious recipe - |",https://www.bigbasket.com/media/uploads/p/l/10000097_22-fresho-coriander-leaves.jpg
